Date,Open,High,Low,Close,Volume,Sentiment,Change,Prediction
2020-02-10,28995.66015625,29278.0703125,28995.66015625,29276.8203125,250510000,0.0,174.310546875,29276.33984375
2020-02-11,29390.7109375,29415.390625,29210.470703125,29276.33984375,279540000,0.0,-0.48046875,29551.419921875
2020-02-12,29406.75,29568.5703125,29406.75,29551.419921875,309530000,0.0,275.080078125,29423.310546875
2020-02-13,29436.029296875,29535.400390625,29345.9296875,29423.310546875,291150000,0.0,-128.109375,29398.080078125
2020-02-14,29440.470703125,29463.0390625,29283.1796875,29398.080078125,231000000,0.0,-25.23046875,29232.189453125
2020-02-18,29282.779296875,29330.16015625,29116.810546875,29232.189453125,256600000,0.0,-165.890625,29348.029296875
2020-02-19,29312.69921875,29409.08984375,29274.380859375,29348.029296875,240640000,0.0,115.83984375,29219.98046875
2020-02-20,29296.25,29368.44921875,28959.650390625,29219.98046875,287780000,0.0,-128.048828125,28992.41015625
2020-02-21,29146.529296875,29146.529296875,28892.69921875,28992.41015625,311210000,0.0,-227.5703125,27960.80078125
2020-02-24,28402.9296875,28402.9296875,27912.439453125,27960.80078125,452580000,0.0,-1031.609375,27081.359375
2020-02-25,28037.650390625,28149.19921875,26997.619140625,27081.359375,513270000,0.3818,-879.44140625,26957.58984375
2020-02-26,27159.4609375,27542.779296875,26890.970703125,26957.58984375,472450000,0.0,-123.76953125,25766.640625
2020-02-27,26526.0,26775.310546875,25752.8203125,25766.640625,664980000,0.0,-1190.94921875,25409.359375
2020-02-28,25270.830078125,25494.240234375,24681.009765625,25409.359375,915990000,0.0258,-357.28125,26703.3203125
2020-03-02,25590.509765625,26706.169921875,25391.9609375,26703.3203125,637200000,0.0,1293.9609375,25917.41015625
2020-03-03,26762.470703125,27084.58984375,25706.279296875,25917.41015625,647080000,0.3818,-785.91015625,27090.859375
2020-03-04,26383.6796875,27102.33984375,26286.310546875,27090.859375,457590000,0.0,1173.44921875,26121.279296875
2020-03-05,26671.919921875,26671.919921875,25943.330078125,26121.279296875,477370000,0.0,-969.580078125,25864.779296875
2020-03-06,25457.2109375,25994.380859375,25226.619140625,25864.779296875,599780000,0.0,-256.5,23851.01953125
2020-03-09,24992.359375,24992.359375,23706.0703125,23851.01953125,750430000,-0.32115,-2013.759765625,25018.16015625
